"invoice_id","total","diferencia_total"
311,11.94,3.98
312,10.91,-1.03
313,16.86,5.95
314,0.99,-15.87
315,1.98,0.99
316,1.98,0.00
317,3.96,1.98
318,5.94,1.98
319,8.91,2.97
320,13.86,4.95
321,0.99,-12.87
322,1.98,0.99
323,1.98,0.00
324,3.96,1.98
325,5.94,1.98
326,8.91,2.97
327,13.86,4.95
328,0.99,-12.87
329,1.98,0.99
330,1.98,0.00
331,3.96,1.98
332,5.94,1.98
333,8.91,2.97
334,13.86,4.95
335,0.99,-12.87
336,1.98,0.99
337,1.98,0.00
338,3.96,1.98
339,5.94,1.98
340,8.91,2.97
341,13.86,4.95
342,0.99,-12.87
343,1.98,0.99
344,1.98,0.00
345,3.96,1.98
346,5.94,1.98
347,8.91,2.97
348,13.86,4.95
349,0.99,-12.87
350,1.98,0.99
351,1.98,0.00
352,3.96,1.98
353,5.94,1.98
354,8.91,2.97
355,13.86,4.95
356,0.99,-12.87
357,1.98,0.99
358,1.98,0.00
359,3.96,1.98
360,5.94,1.98
361,8.91,2.97
362,13.86,4.95
363,0.99,-12.87
364,1.98,0.99
365,1.98,0.00
366,3.96,1.98
367,5.94,1.98
368,8.91,2.97
369,13.86,4.95
370,0.99,-12.87
371,1.98,0.99
372,1.98,0.00
373,3.96,1.98
374,5.94,1.98
375,8.91,2.97
376,13.86,4.95
377,0.99,-12.87
378,1.98,0.99
379,1.98,0.00
380,3.96,1.98
381,5.94,1.98
382,8.91,2.97
383,13.86,4.95
384,0.99,-12.87
385,1.98,0.99
386,1.98,0.00
387,3.96,1.98
388,5.94,1.98
389,8.91,2.97
390,13.86,4.95
391,0.99,-12.87
392,1.98,0.99
393,1.98,0.00
394,3.96,1.98
395,5.94,1.98
396,8.91,2.97
397,13.86,4.95
398,0.99,-12.87
399,1.98,0.99
400,1.98,0.00
401,3.96,1.98
402,5.94,1.98
403,8.91,2.97
404,25.86,16.95
405,0.99,-24.87
406,1.98,0.99
407,1.98,0.00
408,3.96,1.98
409,5.94,1.98
410,8.91,2.97
411,13.86,4.95
412,1.99,-11.87
