"nombre_color","nombre_set","set_num"
Black,Manual Road Crossing,"7835-1"
Black,Magnets and Magnet Holders,"5397-1"
Black,Jet Plane,"9394-1"
Black,Creative Lego Brick Set,"45020-1"
Black,Off Road Truck,"8273-1"
Black,Swivel Magnet Pack (Pack of 10 each),"991335-1"
Black,Garmatron,"70504-1"
Black,Rebel Hunter,"6897-1"
Black,Jamzy,"41560-1"
Black,Digger Bucket Assembly,"5168-1"
Black,Fantasy Boat,"3234-1"
Black,Universal Building Set,"911-1"
Black,Disney • Pixar Cars™ Classic Race,"10600-1"
Black,Death Star Final Duel,"75093-1"
Black,Ferocious Creatures,"5868-1"
Black,Shell Service Station,"377-1"
Black,Maverick Sprinter & Hot Arrow,"4594-1"
Black,Auto Engines,"8858-2"
Black,Duel Racers,"4587-1"
Black,Police Motorcycle,"4651-1"
Black,Professor Lupin's Classroom,"4752-1"
Black,Cat's Playground,"41018-1"
Black,Quake Beast,"71315-1"
Black,Atakus,"8972-1"
Black,Lighting Brick,"5310-1"
Black,"2 x 3 Bricks","219-1"
Black,Gargoyle Bridge,"8822-1"
Black,NHL Championship Challenge,"3578-1"
Black,Inika Toa Hewkii,"8730-1"
Black,Castle Figures,"6002-2"
Black,First Order General,"5004406-1"
Black,Small Bucket,"1617-1"
Black,Truck,"53850012-1"
Black,Reconnaisance Helicopter,"852-1"
Black,Paladum,"41559-1"
Black,Vahki Keerakh,"8619-1"
Black,Mini Modulars,"10230-1"
Black,Ninjago Card Shrine,"2856134-1"
Black,King's Carriage,"6044-1"
Black,Stegosaurus,"4998-1"
Black,Stunt Pack,"4243532-1"
Black,Universal Pneumatic Set,"8042-1"
Black,Friction Connector Pegs (Pack of 100),"970604-1"
Black,TIE Advanced foil pack,SW911722-1
Black,Rolling Acres Ranch,"6419-1"
Black,TIE Fighter,"7146-1"
Black,Deep Sea Operation Base,"60096-1"
Black,Zero Hurricane & Red Blizzard,"4593-1"
Black,Plane of Hurrykain,"3022-1"
Black,Blue Racer,"4309-1"
Black,Paradisa Lifeguard,"1815-1"
Black,Robot Command Center,"6951-1"
Black,Army Men on Patrol,"7595-1"
Black,Handcar,"2585-1"
Black,"38 Slimbricks Assorted Sizes","509-1"
Black,Aquaman and Aqua Watercraft,"71237-1"
Black,Monthly Mini Model Build July 2010 - Watermelon,MMMB026-1
Black,Mysto,"41577-1"
Black,Recycle Truck,"6668-1"
Black,Ramses Return,"3855-1"
Black,Kopaka - Master of Ice,"70788-1"
Black,Eldorado Fortress,"6276-1"
Black,Nokama,"8543-1"
Black,Life of George,"21200-1"
Black,Designer Set,"4911-1"
Black,Sabre Tooth Tiger Pack,"70232-1"
Black,Vermillion Invader,"70624-1"
Black,Destiny's Bounty,"9446-1"
Black,"12-Stud Axles (Pack of 50)","970617-1"
Black,Whale July 2015,"40132-1"
Black,Build with Bricks Bucket {Red Bucket},"4029-1"
Black,Space Jets and Wings,"5155-1"
Black,"MBA Level One - Kit 2, Microbuild Designer","20201-1"
Black,Head Wear,"5318-1"
Black,Shoot 'N Save (FC Bayern Promo Edition),"3422-2"
Black,"Advent Calendar 2013, City (Day  2)","60024-3"
Black,Exo-Toa,"8557-1"
Black,Emperor's Ship,"7416-1"
Black,Jump Master,"8670-1"
Black,The Chopper,"2728-1"
Black,Tractor,"8859-1"
Black,Tehutti,"8609-1"
Black,Blue Racer,"1272-1"
Black,ETX Alien Infiltrator,"7646-1"
Black,Postal Container Wagon Covered,"7819-1"
Black,Advent Calendar 2010 City (Day 12) Sled with Wood and Axe,"2824-13"
Black,Tahu,"8534-1"
Black,Astronaut,"71011-2"
Black,Plane,"1841-1"
Black,Iron Man: Detroit Steel Strikes,"76077-1"
Black,Knight's Procession,"677-1"
Black,Calamity Drone,"71004-1"
Black,Vintage Minifigure Collection Vol. 4,"852753-1"
Black,Lighthouse Island,"5770-1"
Black,Vorox,"8983-1"
Black,Police Headquarters,"6636-1"
Black,Freestyle Multibox,"4162-1"
Black,Advent Calendar 2006 City (Day 18) Speed Radar Gun,"7904-19"
Black,Moon Walker,"6516-1"
Black,Danone Truck,"1591-1"
Black,Freight Loading Station,"4557-1"
Black,Precinct Cruiser,"6506-1"
Black,Nitro Terminator,"8383-1"
Black,Christmas Tree Stand,"40082-1"
Black,"4x4 Off Roader","8466-1"
Black,ROBOLAB Team Challenge Set Version 2.5 [USB],"9794-1"
Black,Mini Forklift,"8290-1"
Black,Light Repair Truck,"60054-1"
Black,The Joker™ – Arkham Asylum,"71017-8"
Black,Mini-Wheel Model Maker No. 2,"2-10"
Black,Heartlake News Van,"41056-1"
Black,Target Practice,"70101-1"
Black,Fang-Suei,"9567-1"
Black,Universal Building Set,"744-1"
Black,Cars and Planes,"3226-1"
Black,Street Sweeper,"4933-1"
Black,Battle Suit Clay,"70362-1"
Black,Heartlake Grand Hotel ,"41101-1"
Black,Mercedes Benz Arocs 3245,"42043-1"
Black,Fire House,"570-1"
Black,"Lots of Extra Basic Bricks, 3+","638-1"
Black,Amusement Park Bumper Cars,"41133-1"
Black,Advent Calendar 1999 (Day  9) Fire Engine,"1076-10"
Black,Dracus,"8705-1"
Black,Turbo Quad,"31022-1"
Black,Vintage Car,"610-1"
Black,Monorail Accessory Track,"6347-1"
Black,Wave Racer,"6508-1"
Black,Coin Bank,"40110-1"
Black,Piggy Pirate Ship,"75825-1"
Black,Ogrum,"44007-1"
Black,"21 8-Stud Bricks","918-2"
Black,Shoot 'N Save (non-promo),"3422-1"
Black,E.T. the Extra-Terrestrial™ Fun Pack,"71258-1"
Black,Zookeeper - Complete Set,"8805-7"
Black,Duel on Naboo,"75169-1"
Black,D2C Minifigure Retro Set 2014,"5002812-1"
Black,Delivery Center,"6377-1"
Black,Animal Allies,"45802-1"
Black,The Croc Swamp Hideout,"70014-1"
Black,Fire Truck,"640-1"
Black,Braca (Duracell 12 pack AA battery promotion),"7217-1"
Black,Ronin,NIN891618-1
Black,Footi,"41521-1"
Black,Mater's Yard,"5814-1"
Black,Mezmo,"9555-1"
Black,Robotops (8500 + 8501 + 8502 + 8503),C8500-1
Black,Seaplane,"2186-1"
Black,Police Van,"6681-1"
Black,Advent Calendar 2010 City (Day 21) Toy Train Car Yellow,"2824-22"
Black,Orient Bazaar,"3849-1"
Black,Vahki Zadakh Limited Edition with Movie Edition Vahi and Disk Of Time,"8617-2"
Black,Freestyle Building Set,"4131-1"
Black,Window Exploration Bag,"2000409-1"
Black,Creations and Bricks {Red Tub},"4400-1"
Black,Fright Knights Fire Cart,"2538-1"
Black,Visorak Battle Ram,"8757-1"
Black,Train Accessory Set,"10506-1"
Black,Speed Slammer Bike,"8646-1"
Black,Fire Helicopter,"30019-1"
Black,Wonder Woman Dorm,"41235-1"
Black,LEGO® DIMENSIONS™ Eris Fun Pack,"71232-1"
Black,Creationary,"3844-1"
Black,Train Accessories,"3737-1"
Black,Ultimate Race Set,"9485-1"
Black,Race Car,"1612-1"
Black,Advent Calendar 1999 (Day  6) Reindeer,"1076-7"
Black,Computer Programmer - Complete Set,"8831-12"
Black,Garbage Truck Getaway,"7599-1"
Black,Passenger Plane - ANA Version,"3181-2"
Black,Jet Sub,"4800-1"
Black,Treasure Cart,"2889-1"
Black,Mighty Micros: Robin™ vs. Bane™,"76062-1"
Black,Cowboys,"617-1"
Black,Mobile Outpost,"6520-1"
Black,Beta Buzzer,"6817-1"
Black,Poe's X-Wing Fighter,TRUXWING-2
Black,Builder,"5610-1"
Black,Basic Bricks -- Large,"5578-1"
Black,Basic Building Set,"022-1"
Black,Gungan Sub,"7161-1"
Black,Supplementary Set,"872-1"
Black,Galaxy Trekkor,"6808-1"
Black,XL Bucket,"1880-1"
Black,Left and Right Manual Points with Electric Rails,"7856-1"
Black,Attack of the Morro Dragon,"70736-1"
Black,Weetabix Racer,"1899-1"
Black,Viking Line Ferry,"1923-1"
Black,Garbage Truck,"30313-1"
Black,Takutanuva,"10201-1"
Black,Doc Ock's Crime Spree,"4858-1"
Black,King Leo's Cart,"1286-1"
Black,Danone Promotional Set: Impala,"2133-1"
Black,Rebel Trooper Battle Pack,"75164-1"
Black,Clone Turbo Tank,"75028-1"
Black,Downtown Bakery,"41006-1"
Black,Splasho,"41563-1"
Black,Mission 5: Turbocar Chase,"8634-1"
Black,Hydro Search Sub,"6180-1"
Black,Air Blazers,"4403-1"
Black,Droid Gunship,"7678-1"
Black,Turtle Lair Attack,"79103-1"
Black,TV Chopper,"6425-1"
Black,"Las Vegas Skyline, Pyramid (LLCA Ambassador Pass Exclusive)",LLCA24-1
Black,Snowman,"10079-1"
Black,Night Lord's Castle,"6097-1"
Black,Umbaran MHC (Mobile Heavy Cannon),"75013-1"
Black,Toys 'r Us - Cogsworth,TRUCOGSWORTH-1
Black,Small Car,"7424-2"
Black,Police Helicopter,"3658-1"
Black,Tipper Lorry,"606-2"
Black,TV Camera Crew,"6659-1"
Black,Diesel Locomotive,"723-1"
Black,Cupcake Stall,"30396-1"
Black,Small Bucket,"1881-1"
Black,Speeda Demon,"6231-1"
Black,Track Racer,"8360-1"
Black,Visorak Oohnorak,"8744-1"
Black,Tow Truck,"8846-1"
Black,Surfer Rescue,"60011-1"
Black,Basic Set with Storage Case,"1520-1"
Black,Championship Challenge II - Sports Edition,"3420-4"
Black,Regular & Transparent Bricks Bucket,"4119-1"
Black,"Advent Calendar 2013, Star Wars (Day 16) - Geonosian Weapons Depot","75023-17"
Black,Space Patrol,"6803-1"
Black,High Speed Train Car,"10158-1"
Black,AT-AT Walker - Mini,"20018-1"
Black,Evil Ogel Attack,"4798-1"
Black,Kurahk,"8588-1"
Black,Chopper Cop,"6324-1"
Black,Blaster Bike,"70733-1"
Black,Ilrion,"3874-1"
Black,Collectible Display Set 6 - San Diego Comic-Con 2009 Exclusive,comcon009-1
Black,Rubber Chain Tracks,"5002-1"
Black,AAT,"75029-1"
Black,Jetrax T6 Limited Edition,"8942-2"
Black,Spinza,"41576-1"
Black,Tire Escape,"60126-1"
Black,Aeroplane and Pilot,"250-3"
Black,Interplanetary Shuttle,"6848-2"
Black,Escape the Space Slug,"6176782-1"
Black,"4WD X-Track","8279-1"
Black,Mythical Creatures,"4894-1"
Black,Emma's Lifeguard Post,"41028-1"
Black,Fire Chief's Car,"6602-1"
Black,Passenger Plane,"7893-1"
Black,Foal's Washing Station,"41123-1"
Black,Large Wheels and Axles,"10049-1"
Black,Tractor with Trailer,"8063-1"
Black,Rebel Chariot,"4819-1"
Black,Bank Breakout,"4608-1"
Black,Police Building Set,"4636-1"
Black,The Lab,"30111-1"
Black,"Advent Calendar 2013, City (Day 10)","60024-11"
Black,Go-Kart,"948-1"
Black,Ninjago Character Card Shrine,"850445-1"
Black,Technojaw T55,"3809-1"
Black,Modular Space Transport,"6892-1"
Black,Santa Claus,"1555-1"
Black,Holiday Train Starter Collection,K2159-1
Black,Witch-King Battle,"79015-1"
Black,Clan of the Cave Batman™,"71017-4"
Black,Kashyyyk Troopers,"75035-1"
Black,Helicopter,"1630-1"
Black,The Joker,"4527-1"
Black,"Roof Bricks Assorted, Black","5216-1"
Black,Mini Construction,"4915-1"
Black,Biker Bob,"2584-1"
Black,Big Bling Wheelie,"8658-1"
Black,Peter Pan,"71012-15"
Black,"Advent Calendar 2013, City (Day 11)","60024-12"
Black,Advent Calendar 2010 City (Day 4) Toy Crane,"2824-5"
Black,Gallardo LP 560-4 Polizia,"8214-1"
Black,Axles - Long,"9971-1"
Black,"Advent Calendar 2001, Creator (Day 21) Church","4124-22"
Black,Aqua Dozer,"2161-1"
Black,Buggy Racer,"30036-1"
Black,"Santa Fe Cars - Set II (dining, observation, or sleeping car)","10022-1"
Black,Lobster-Lovin’ Batman™,"71017-1"
Black,Wacky Witch,"71010-4"
Black,Spooky Boy,"71013-5"
Black,Alien Avenger,"6975-1"
Black,Soldiers Outpost,"70410-1"
Black,Transformation Kit Dirt Crusher (Red),"4285968-1"
Black,Thunder,"7157-1"
Black,Glurt,"41519-1"
Black,Shipwrecked Pirate,"1713-1"
Black,Diesel Dumper,"6532-1"
Black,"1 x 6 Black Plates","3486-1"
Black,Slammer,"5014-1"
Black,Eglor's Twin Bike,"70007-1"
Black,Brick Calendar,"40172-1"
Black,Mime - Complete Set,"8684-9"
Black,House with Car,"346-2"
Black,Dungeon,"4817-1"
Black,Search N' Rescue,"6545-1"
Black,Motion Madness,"4090-1"
Black,Hafu,"8585-1"
Black,Pretend and Create,"4497-1"
Black,Skater Girl - Complete Set,"8827-12"
Black,Go-Kart,"6436-1"
Black,"Santa Fe Super Chief, Limited Edition","10020-2"
Black,Stunt Chopper,"1561-1"
Black,Treasure Surprise,"1747-1"
Black,Monthly Mini Model Build July 2014 - Surf Van,"40100-1"
Black,Aira's Creative Workshop,"41071-1"
Black,Flying Mummy Attack,"7307-1"
Black,The Vampyre Castle,"9468-1"
Black,Coast Guard Plane,"60015-1"
Black,Dusty and Chug,"10509-1"
Black,Shell F1 Team,"30196-1"
Black,Aviation Adventures,"31011-1"
Black,Push-Along Steam Engine,"7810-1"
Black,Desert Challenge,"8126-1"
Black,"X-wing Fighter (Dagobah), Blue box","4502-1"
Black,"Mos Eisley Cantina, Blue box","4501-1"
Black,Fire Truck,"485-1"
Black,Point Shooting,"3418-1"
Black,Aquazone Accessories,"5382-1"
Black,HH-87 Starhopper,"75024-1"
Black,Crossbones’ Hazard Heist,"76050-1"
Black,Maersk Sealand Container Lorry,"1831-2"
Black,"LEGO Store Grand Opening Exclusive Set, Glasgow UK",Glasgow-1
Black,Maze,"21305-1"
Black,Skulzy,"41567-1"
Black,Kai ZX,"9561-1"
Black,Coast Guard Helicopter and Life Raft,"7738-1"
Black,Large Bucket,"1637-1"
Black,Street Skater - Complete Set,"8804-9"
Black,Fire Truck,"60002-1"
Black,Locomotive Brown Bricks,"3746-1"
Black,Seaplane Adventures,"31064-1"
Black,Service Station,"7993-1"
Black,Seaplane,"3178-1"
Black,Coca-Cola Forward 3,"4451-1"
Black,Display Team Jet,"42044-1"
Black,Black Plates 2 x n,"10057-1"
Black,Fountain,"40221-1"
Black,Advent Calendar 2014 Star Wars (Day 8) - Snowtrooper ,"75056-9"
Black,Rescue Set,"770-1"
Black,Rebel Scout Speeder,"7668-1"
Black,Red’s Water Rescue,"9484-1"
Black,Dragon Master Chariot,"1794-1"
Black,"1:87 Twenty Four Models","1260-2"
Black,The Kwik-E-Mart,"71016-1"
Black,Wheel Bearings for Locomotives,"12-3"
Black,Alien Jet,"5617-1"
Black,Police 4 x 4,"5625-1"
Black,Helicopter,"4906-1"
Black,Gear Set with Motor,"800-1"
Black,Bricktober Train Station,"40142-1"
Black,Passenger Plane - Snowflake Version,"4032-9"
Black,Ice Crossbow,LOC391502-1
Black,Cement Mixer,"7990-1"
Black,Alien Fossilizer,"6854-1"
Black,Basic Blue Bucket,"7615-1"
Black,Simple and Motorized Mechanisms Base Set,"9686-1"
Black,Vader's TIE Advanced - UCS,"10175-1"
Black,Baby Ankylosaurus (Polybag),"5950-1"
Black,Fire Chief's Car,"6505-1"
Black,Burger Stand,"6683-1"
Black,Krennics Imperial Shuttle Microfighter,"75163-1"
Black,Space Cruiser,"924-1"
Black,Sports Car,"30349-1"
Black,Fisherman - Complete Set,"8803-1"
Black,The Phantom,"75170-1"
Black,Dirt Bike Transporter,"4433-1"
Black,"Advent Calendar 2001, Creator (Day 16) Police Boat","4124-17"
Black,Fire Truck,"10592-1"
Black,BuildToExpress Set,"9331-1"
Black,"2 x 2 Black Smooth Tiles","3492-1"
Black,Super Secret Police Enforcer,"30282-1"
Black,Basic Building Set,"340-1"
Black,Hailfire Droid & Spider Droid Clone Wars White Box,"7670-2"
Black,Universal Building Set,"113-1"
Black,Batman: Rescue from Ra's al Ghul,"76056-1"
Black,Witch Doctor,"2283-1"
Black,Airplane,"4038-1"
Black,Radiator Springs Lightning McQueen,"8200-1"
Black,Geonosian Cannon,"9491-1"
Black,Basic Motor Set,"810-1"
Black,Volcano Heavy-Lift Helicopter,"60125-1"
Black,Baja Buggy,"6518-1"
Black,"2 x 4 Plates (cardboard box version)","518-1"
Black,Advent Calendar 2004 Creator (Day  4) Robot,"4924-5"
Black,Riverside Raid,"70160-1"
Black,Car,"1606-1"
Black,Breez,"44006-1"
Black,Crab,"7268-1"
Black,Advent Calendar 2008 City (Day  2) Barbecue,"7724-3"
Black,Advent Calendar 2004 Creator (Day 17) Speedboat,"4924-18"
Black,MX-81 Hypersonic Operations Aircraft,"7644-1"
Black,F6 Truck,"8656-1"
Black,Vehicles,"9333-1"
Black,"2 x 4 Bricks (System)","418-3"
Black,Satellite Patroller,"6849-1"
Black,Twin-Winged Spoiler,"6828-1"
Black,Vahki Bordakh Limited Edition with Movie Edition Vahi and Disk Of Time,"8615-2"
Black,Basic Building Set,"540-1"
Black,Stormer XL,"6230-1"
Black,Family Car,"6633-1"
Black,"Spare Axles, 12L","1326-1"
Black,Universal Figure Set,"205-2"
Black,Desert Racer,"8359-1"
Black,Convertible,"6627-1"
Black,Superman: Battle of Smallville,"76003-1"
Black,Nya foil pack,NIN891620-1
Black,Cole foil pack,"891611-1"
Black,Homer,"71009-1"
Black,Ultimate Build Francesco,"8678-1"
Black,Build and Create,"7837-1"
Black,The King's Mech,"70327-1"
Black,{Aeroplane},"1608-1"
Black,First Order Stormtrooper,"75114-1"
Black,Big Pirate Ship,"7880-1"
Black,Passenger Plane,"4032-1"
Black,Flare,"8521-1"
Black,Fantastic Flyers & Cool Cars Bucket,"4117-1"
Black,Fire Engine,"658-1"
Black,Train Ferry,"343-1"
Black,Garbage Truck,"10680-1"
Black,Catapult Raft,"7070-1"
Black,Dojo Showdown,"70756-1"
Black,Crossbows,"1287-1"
Black,Jay Walker One,"70731-1"
Black,Green Buggy,"1284-1"
Black,Laser Ranger,"6810-1"
Black,LEGO Express,"4534-1"
Black,LEGO TECHNIC and Pneumatic elements,"9604-1"
Black,Jungle Raider,"70755-1"
Black,Advent Calendar 2003 Creator (Day 15) Truck,"4024-16"
Black,CHI Cragger,"70203-1"
Black,Assorted Pulleys,"9939-1"
Black,"Advent Calendar 2014, Friends (Day 24) - Present with Skates, Camera","41040-25"
Black,Bulk,"44004-1"
Black,Black Manta Deep Sea Strike,"76027-1"
Black,Santa Set,"850939-1"
Black,Inter-Galactic Command Base,"6971-1"
Black,Launch Evac 1,"6614-1"
Black,Happy Holidays - The Christmas Game,"2010-1"
Black,Santa and Chimney,"1549-1"
Black,Street Sweeper,"6645-1"
Black,Advent Calendar 2002 Creator (Day 16) Police Boat,"4524-17"
Black,Battle Arena,"2520-1"
Black,Surveillance Truck,"7034-1"
Black,"Lashina"" Tank","41233-1"
Black,Car with Plane Transporter,"660-1"
Black,Duster,"4576-1"
Black,Maersk Line Container Lorry,"1831-1"
Black,Ultimate Robin,"70333-1"
Black,King's Archer,"1624-1"
Black,Monthly Mini Model Build March 2013 - Turtle,"40063-1"
Black,Ambulance,"6680-1"
Black,Alpha Team Robot Diver,"4790-1"
Black,Summer Caravan,"41034-1"
Black,Inter-City Passenger Train,"7740-1"
Black,Rahaga Bomonga,"4878-1"
Black,Giant Lego Topic Set,"9452-1"
Black,Spy-Bot,"1498-1"
Black,Skull Slicer,"70792-1"
Black,Basic Set,"8-3"
Black,Skull Island,"6279-1"
Black,Radar Truck,"889-1"
Black,Orkahm,"8611-1"
Black,Evil Wizard,"71008-10"
Black,Fiery Legend,"6751-1"
Black,An Unexpected Gathering,"79003-1"
Black,Town Folks,"6326-1"
Black,Click,"20012-1"
Black,TECHNIC Bulldozer Chainlinks,"1230-1"
Black,Stadium Security,"3314-1"
Black,Off-Road Vehicle and Jet Scooter,"7737-1"
Black,Myke,"41580-1"
Black,Rebel Roadster,"6538-1"
Black,Lord Business’ Hideout,"70809-1"
Black,Elf-Girl,"71018-15"
Black,Gear,"4566-1"
Black,Motor Pack,"5221-1"
Black,Mini Wookiee Attack,"6968-1"
Black,Balloon Cart,"40108-1"
Black,Saturn Base Main Team (Crater Crawler),"6885-1"
Black,General Grievous Starfighter,"7656-1"
Black,Locomotive Piston Assemblies,"19-2"
Black,Big Foot 4x4,"5561-1"
Black,Deluxe Brick Box,"5508-1"
Black,Ariel’s Undersea Palace,"41063-1"
Black,Basic Building Set,"520-16"
Black,Monthly Mini Model Build April 2012 - Duck,"40043-1"
Black,LEGO Ideas NASA Apollo Saturn V,"21309-1"
Black,Green Goblin,"1374-1"
Black,Intergalactic Girl - Complete Set,"8827-13"
Black,Complete Living Room Set,"260-3"
Black,Demolition Dummy - Complete Set,"8683-8"
Black,Rally Car,"60113-1"
Black,Heartlake Horse Show,"41057-1"
Black,Doctor's Car,"7902-1"
Black,River Chase,"7625-1"
Black,Ferrari FXX K & Development Center,"75882-1"
Black,Monthly Mini Model Build April 2016 - Bee,"40211-1"
Black,Lance's Twin Jouster,"70348-1"
Black,Advent Calendar 2014 City (Day 23) Tricycle,"60063-24"
Black,Offroad Power,"5893-1"
Black,Barbarian - Complete Set,"71002-1"
Black,Stronius,"8984-1"
Black,Chopper Jump,"8196-1"
Black,Fire Attack,"4807-1"
Black,Tygurah's Roar,"7411-1"
Black,Modular Family Villa,"31069-1"
Black,HMV 2013 Production,"4000009-1"
Black,Beach Lookout,"6736-1"
Black,Catapult,"1289-1"
Black,Surface Explorer,"6880-1"
Black,Cheerleader - Complete Set,"8683-2"
Black,Crane Wagon,"7817-1"
Black,Squid Launcher Function,"6946-1"
Black,Coast Guard Platform,"4210-1"
Black,The Boss,"8516-1"
Black,Motorbike,"1259-1"
Black,Hydro,"41565-1"
Black,NBA Ultimate Arena,"3433-1"
Black,Mini Golf,"30203-1"
Black,Smuggler's Hayride,"1974-3"
Black,Fire Engine,"60112-1"
Black,King's Castle Siege,"7094-1"
Black,Night Chopper,"8825-1"
Black,The Knight Bus,"4866-1"
Black,Advent Calendar 2008 Castle (Day 12) - Container on Wheels,"7979-13"
Black,Carbon-Freezing Chamber,"75137-1"
Black,Island Hopper,"5935-1"
Black,Brickley,"3300001-1"
Black,Swamp Jump,"70111-1"
Black,Diver - Complete Set,"8833-6"
Black,Space Port Accessories,"5313-1"
Black,Wild Pod (polybag),"4349-2"
Black,Alien Mothership,"7065-1"
Black,Bucketful of Fun,"2229-1"
Black,Vulture Droid - Mini,"30055-1"
