"name","title","q_tracks","rank"
James Brown,Sex Machine,20,1
James Levine,Mascagni: Cavalleria Rusticana,1,1
Jamiroquai,Synkronized,11,1
Jamiroquai,The Return Of The Space Cowboy,11,1
Jamiroquai,Emergency On Planet Earth,10,3
Jimi Hendrix,Are You Experienced?,17,1
Joe Satriani,Surfing with the Alien (Remastered),10,1
Jorge Ben,Jorge Ben Jor 25 Anos,14,1
Jorge Vercilo,,0,1
Jota Quest,Jota Quest-1995,12,1
João Gilberto,,0,1
João Suplicy,Cafezinho,14,1
Judas Priest,Living After Midnight,16,1
Julian Bream,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",1,1
Karsh Kale,Realize,2,1
Kent Nagano and Orchestre de l'Opéra de Lyon,Weill: The Seven Deadly Sins,1,1
Kid Abelha,,0,1
Kiss,Greatest Kiss,20,1
Kiss,Unplugged [Live],15,2
Led Zeppelin,BBC Sessions [Disc 1] [Live],14,1
Led Zeppelin,Led Zeppelin III,10,2
Led Zeppelin,BBC Sessions [Disc 2] [Live],10,2
Led Zeppelin,Physical Graffiti [Disc 2],9,4
Led Zeppelin,Led Zeppelin I,9,4
Led Zeppelin,Led Zeppelin II,9,4
Led Zeppelin,IV,8,7
Led Zeppelin,Coda,8,7
Led Zeppelin,Houses Of The Holy,8,7
Led Zeppelin,In Through The Out Door,7,10
Led Zeppelin,Presence,7,10
Led Zeppelin,Physical Graffiti [Disc 1],6,12
Led Zeppelin,The Song Remains The Same (Disc 1),5,13
Led Zeppelin,The Song Remains The Same (Disc 2),4,14
Legião Urbana,Mais Do Mesmo,16,1
Legião Urbana,A TempestadeTempestade Ou O Livro Dos Dias,15,2
Lenny Kravitz,Greatest Hits,57,1
Leonard Bernstein & New York Philharmonic,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,1,1
Les Arts Florissants & William Christie,"Charpentier: Divertissements, Airs & Concerts",1,1
London Symphony Orchestra & Sir Charles Mackerras,Tchaikovsky: The Nutcracker,1,1
Los Hermanos,,0,1
Los Lonely Boys,,0,1
Lost,"Lost, Season 3",26,1
Lost,"Lost, Season 1",25,2
Lost,"Lost, Season 2",24,3
Lost,"LOST, Season 4",17,4
Luciana Souza/Romero Lubambo,Duos II,1,1
Luciano Pavarotti,Pavarotti's Opera Made Easy,1,1
Luiz Melodia,,0,1
Lulu Santos,Lulu Santos - RCA 100 Anos De Música - Álbum 01,14,1
Lulu Santos,Lulu Santos - RCA 100 Anos De Música - Álbum 02,14,1
Marcos Valle,Chill: Brazil (Disc 1),17,1
Marillion,Misplaced Childhood,10,1
Marisa Monte,Barulhinho Bom,18,1
Martin Roscoe,"Szymanowski: Piano Works, Vol. 1",1,1
Marvin Gaye,Seek And Shall Find: More Of The Best (1963-1981),18,1
Matisyahu,,0,1
Maurizio Pollini,Beethoven Piano Sonatas: Moonlight & Pastorale,1,1
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp","Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",1,1
Men At Work,The Best Of Men At Work,10,1
Metallica,Garage Inc. (Disc 2),16,1
Metallica,Load,14,2
Metallica,ReLoad,13,3
Metallica,Black Album,12,4
Metallica,Garage Inc. (Disc 1),11,5
Metallica,St. Anger,11,5
Metallica,Kill 'Em All,10,7
Metallica,...And Justice For All,9,8
Metallica,Ride The Lightning,8,9
Metallica,Master Of Puppets,8,9
Michael Tilson Thomas & San Francisco Symphony,Prokofiev: Romeo & Juliet,1,1
Michael Tilson Thomas & San Francisco Symphony,Berlioz: Symphonie Fantastique,1,1
Michele Campanella,Liszt - 12 Études D'Execution Transcendante,1,1
Miles Davis,Miles Ahead,14,1
Miles Davis,The Essential Miles Davis [Disc 1],13,2
Miles Davis,The Essential Miles Davis [Disc 2],10,3
Milton Nascimento,Minas,13,1
Milton Nascimento,Milton Nascimento Ao Vivo,13,1
Milton Nascimento & Bebeto,,0,1
Motörhead,Ace Of Spades,15,1
Motörhead & Girlschool,,0,1
Mundo Livre S/A,,0,1
Mônica Marianno,Demorou...,12,1
Mötley Crüe,Motley Crue Greatest Hits,17,1
Nando Reis,,0,1
Nash Ensemble,Mozart: Chamber Music,1,1
Nação Zumbi,,0,1
Nega Gizza,,0,1
Ney Matogrosso,,0,1
Nicolaus Esterhazy Sinfonia,The Best of Beethoven,1,1
Nirvana,From The Muddy Banks Of The Wishkah [Live],17,1
Nirvana,Nevermind,12,2
O Rappa,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,17,1
O Terço,Compositores,15,1
Olodum,Olodum,14,1
Orchestra of The Age of Enlightenment,Bach: The Brandenburg Concertos,1,1
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Beethoven: Symhonies Nos. 5 & 6,1,1
Os Cariocas,,0,1
Os Mutantes,Minha História,14,1
Os Paralamas Do Sucesso,Acústico MTV,21,1
Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,16,2
Os Paralamas Do Sucesso,Arquivo II,12,3
Otto,,0,1
Otto Klemperer & Philharmonia Orchestra,Beethoven: Symphony No. 6 'Pastoral' Etc.,1,1
Ozzy Osbourne,Tribute,14,1
Ozzy Osbourne,Speak of the Devil,12,2
Ozzy Osbourne,Blizzard of Ozz,2,3
Ozzy Osbourne,No More Tears (Remastered),2,3
Ozzy Osbourne,Diary of a Madman (Remastered),1,5
Ozzy Osbourne,Bark at the Moon (Remastered),1,5
Page & Plant,Walking Into Clarksdale,12,1
Passengers,Original Soundtracks 1,14,1
Paul D'Ianno,The Beast Live,10,1
Pearl Jam,Live On Two Legs [Live],16,1
Pearl Jam,Riot Act,15,2
Pearl Jam,Pearl Jam,13,3
Pearl Jam,Vs.,12,4
Pearl Jam,Ten,11,5
Pedro Luís & A Parede,,0,1
Pedro Luís E A Parede,,0,1
Peter Tosh,,0,1
Philharmonia Orchestra & Sir Neville Marriner,Mendelssohn: A Midsummer Night's Dream,1,1
Philip Glass Ensemble,Koyaanisqatsi (Soundtrack from the Motion Picture),1,1
Pink Floyd,Dark Side Of The Moon,9,1
Planet Hemp,Os Cães Ladram Mas A Caravana Não Pára,16,1
Queen,Greatest Hits I,17,1
Queen,Greatest Hits II,17,1
Queen,News Of The World,11,3
R.E.M.,The Best Of R.E.M.: The IRS Years,16,1
R.E.M.,New Adventures In Hi-Fi,14,2
R.E.M.,Green,11,3
R.E.M. Feat. KRS-One,,0,1
R.E.M. Feat. Kate Pearson,Out Of Time,11,1
Raimundos,Cesta Básica,10,1
Raul Seixas,Raul Seixas,14,1
Red Hot Chili Peppers,Blood Sugar Sex Magik,17,1
Red Hot Chili Peppers,By The Way,16,2
Red Hot Chili Peppers,Californication,15,3
Regina Spektor,,0,1
"Richard Marlow & The Choir of Trinity College, Cambridge",Allegri: Miserere,1,1
Rodox,,0,1
"Roger Norrington, London Classical Players",Purcell: The Fairy Queen,1,1
Royal Philharmonic Orchestra & Sir Thomas Beecham,Haydn: Symphonies 99 - 104,1,1
Rush,Retrospective I (1974-1980),14,1
Sabotage E Instituto,,0,1
Sandra De Sá,,0,1
Santana,Supernatural,13,1
Santana,Santana - As Years Go By,8,2
Santana,Santana Live,6,3
Santana Feat. Dave Matthews,,0,1
Santana Feat. Eagle-Eye Cherry,,0,1
Santana Feat. Eric Clapton,,0,1
Santana Feat. Everlast,,0,1
Santana Feat. Lauryn Hill & Cee-Lo,,0,1
Santana Feat. Maná,,0,1
Santana Feat. Rob Thomas,,0,1
Santana Feat. The Project G&B,,0,1
Scholars Baroque Ensemble,Handel: The Messiah (Highlights),1,1
Scorpions,"20th Century Masters - The Millennium Collection: The Best of Scorpions",12,1
Sergei Prokofiev & Yuri Temirkanov,Prokofiev: Symphony No.1,1,1
Seu Jorge,,0,1
Simply Red,,0,1
Sir Georg Solti & Wiener Philharmoniker,Wagner: Favourite Overtures,1,1
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",Mozart Gala: Famous Arias,1,1
Skank,Maquinarama,12,1
Skank,O Samba Poconé,11,2
Smashing Pumpkins,Rotten Apples: Greatest Hits,18,1
Smashing Pumpkins,Judas 0: B-Sides and Rarities,16,2
Snow Patrol,,0,1
Soundgarden,A-Sides,17,1
Spyro Gyra,Heart of the Night,12,1
Spyro Gyra,Morning Dance,9,2
Stereo Maracana,,0,1
Stevie Ray Vaughan & Double Trouble,In Step,10,1
Stone Temple Pilots,Core,12,1
System Of A Down,Mezmerize,11,1
Temple of the Dog,Temple of the Dog,10,1
"Terry Bozzio, Tony Levin & Steve Stevens",[1997] Black Light Syndrome,7,1
The 12 Cellists of The Berlin Philharmonic,South American Getaway,1,1
The Black Crowes,Live [Disc 1],10,1
The Black Crowes,Live [Disc 2],9,2
The Clash,The Singles,18,1
The Cult,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",18,1
The Cult,Beyond Good And Evil,12,2
The Doors,The Doors,11,1
The Flaming Lips,,0,1
The King's Singers,English Renaissance,2,1
The Office,"The Office, Season 3",25,1
The Office,"The Office, Season 2",22,2
The Office,"The Office, Season 1",6,3
The Police,The Police Greatest Hits,14,1
The Posies,Every Kind of Light,2,1
The Postal Service,,0,1
The Rolling Stones,Voodoo Lounge,15,1
The Rolling Stones,No Security,14,2
The Rolling Stones,"Hot Rocks, 1964-1971 (Disc 1)",12,3
The Tea Party,Tangents,15,1
The Tea Party,Transmission,11,2
The Who,My Generation - The Very Best Of The Who,20,1
Tim Maia,Serie Sem Limite (Disc 1),15,1
Tim Maia,Serie Sem Limite (Disc 2),15,1
Titãs,Acústico,22,1
Titãs,Volume Dois,16,2
Ton Koopman,Bach: Toccata & Fugue in D Minor,1,1
Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,15,1
U2,Instant Karma: The Amnesty International Campaign to Save Darfur,23,1
U2,Rattle And Hum,17,2
U2,B-Sides 1980-1990,15,3
U2,The Best Of 1980-1990,14,4
U2,Pop,12,5
U2,Achtung Baby,12,5
U2,All That You Can't Leave Behind,11,7
U2,How To Dismantle An Atomic Bomb,11,7
U2,Zooropa,10,9
U2,War,10,9
UB40,UB40 The Best Of - Volume Two [UK],14,1
Van Halen,"The Best Of Van Halen, Vol. I",17,1
Van Halen,Van Halen III,12,2
Van Halen,Diver Down,12,2
Van Halen,Van Halen,11,4
Various Artists,Axé Bahia 2001,14,1
Various Artists,Vozes do MPB,14,1
Various Artists,Carnaval 2001,14,1
Various Artists,Sambas De Enredo 2001,14,1
Velvet Revolver,Contraband,13,1
"Vinicius, Toquinho & Quarteto Em Cy",,0,1
Vinícius De Moraes,Vinicius De Moraes,15,1
Vinícius De Moraes & Baden Powell,,0,1
Vinícius E Odette Lara,,0,1
Vinícius E Qurteto Em Cy,,0,1
Whitesnake,,0,1
Wilhelm Kempff,Bach: Goldberg Variations,1,1
Xis,,0,1
Yehudi Menuhin,Bartok: Violin & Viola Concertos,1,1
Yo-Yo Ma,Bach: The Cello Suites,1,1
Youssou N'Dour,,0,1
Zeca Pagodinho,Ao Vivo [IMPORT],19,1
