"title","sum"
Come Taste The Band,2236992
Stormbringer,2197077
Mezmerize,2172650
Van Halen,2133413
Coda,1981123
Diver Down,1890424
Cesta Básica,1738470
BackBeat Soundtrack,1615722
Alcohol Fueled Brewtality Live! [Disc 2],1447755
Sozinho Remix Ao Vivo,959711
Quanta Gente Veio ver--Bônus De Carnaval,915904
Restless and Wild,858088
No More Tears (Remastered),695944
Realize,693207
Blizzard of Ozz,608940
Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,596519
Muso Ko,586442
Handel: The Messiah (Highlights),582029
Górecki: Symphony No. 3,567494
Berlioz: Symphonie Fantastique,561967
Chopin: Piano Concertos Nos. 1 & 2,560342
Quiet Songs,553888
Scheherazade,545203
Strauss: Waltzes,526696
"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",522099
Allegri: Miserere,501503
"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",493573
Elgar: Cello Concerto & Vaughan Williams: Fantasias,483133
The World of Classical Favourites,465201
"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",412000
Every Kind of Light,411967
Sibelius: Finlandia,406000
Mozart: Wind Concertos,394482
Beethoven: Symhonies Nos. 5 & 6,392462
Beethoven Piano Sonatas: Moonlight & Pastorale,391000
Mendelssohn: A Midsummer Night's Dream,387826
The Ultimate Relexation Album,385506
Weill: The Seven Deadly Sins,376510
Purcell: The Fairy Queen,364296
Mozart: Symphonies Nos. 40 & 41,362933
The Best of Beethoven,356426
Sir Neville Marriner: A Celebration,348971
Balls to the Wall,342562
Beethoven: Symphony No. 6 'Pastoral' Etc.,339567
A Soprano Inspired,338243
"Szymanowski: Piano Works, Vol. 1",333669
Un-Led-Ed,310774
Bach: The Brandenburg Concertos,307244
Haydn: Symphonies 99 - 104,306687
Tchaikovsky: The Nutcracker,304226
Bartok: Violin & Viola Concertos,299350
Diary of a Madman (Remastered),290851
South American Getaway,289388
Nielsen: The Six Symphonies,286998
Respighi:Pines of Rome,286741
"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",285673
Puccini: Madama Butterfly - Highlights,277639
Prokofiev: Romeo & Juliet,275015
Great Opera Choruses,274504
Pachelbel: Canon & Gigue,271788
Worlds,266936
Great Recordings of the Century: Paganini's 24 Caprices,265541
"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",261849
"Fauré: Requiem, Ravel: Pavane & Others",258924
Bark at the Moon (Remastered),257252
"Adams, John: The Chairman Dances",254930
Prokofiev: Symphony No.1,254001
Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,253422
Armada: Music from the Courts of England and Spain,253281
The Last Night of the Proms,250031
Adorate Deum: Gregorian Chant from the Proper of the Mass,245317
Mascagni: Cavalleria Rusticana,243436
Palestrina: Missa Papae Marcelli & Allegri: Miserere,240666
Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,234746
Cake: B-Sides and Rarities,234013
Bach: Orchestral Suites Nos. 1 - 4,225933
Great Recordings of the Century - Mahler: Das Lied von der Erde,223583
Mozart: Chamber Music,221331
Carried to Dust (Bonus Track Version),215386
Koyaanisqatsi (Soundtrack from the Motion Picture),206005
English Renaissance,202962
Vivaldi: The Four Seasons,199086
"A Copland Celebration, Vol. I",198064
Bach: Violin Concertos,193722
Wagner: Favourite Overtures,189008
Pavarotti's Opera Made Easy,176911
Mozart Gala: Famous Arias,174813
Duos II,172710
Carmina Burana,156710
Bach: Toccata & Fugue in D Minor,153901
Bach: The Cello Suites,143288
Purcell: Music for the Queen Mary,142081
Schubert: The Late String Quartets & String Quintet (3 CD's),139200
Bizet: Carmen Highlights,132932
Bach: Goldberg Variations,120463
Handel: Music for the Royal Fireworks (Original Version 1749),120000
"Charpentier: Divertissements, Airs & Concerts",110266
SCRIABIN: Vers la flamme,101293
Monteverdi: L'Orfeo,66639
Liszt - 12 Études D'Execution Transcendante,51780
