"invoice_id","total","diferencia_total"
396,8.91,-4.95
397,13.86,12.87
398,0.99,-0.99
399,1.98,0.00
400,1.98,-1.98
401,3.96,-1.98
402,5.94,-2.97
403,8.91,-16.95
404,25.86,24.87
405,0.99,-0.99
406,1.98,0.00
407,1.98,-1.98
408,3.96,-1.98
409,5.94,-2.97
410,8.91,-4.95
411,13.86,11.87
412,1.99,
